rid	C16_Down_LUT_Down	C16_Down_LUT_NA	C16_NA_LUT_Down	C16_NA_LUT_Up	C16_Up_LUT_NA	C16_Up_LUT_Up	PeakID
KCNA4	0	0	0	1	0	0	0
KCNC2	0	0	0	1	0	0	0
KCNE2	0	0	0	1	0	0	0
KCNG1	0	0	0	1	0	0	0
KCNH1-IT1	0	0	0	0	0	1	0
KCNH7	0	0	0	1	0	0	0
KCNIP4	0	0	0	1	0	0	0
KCNK12	0	0	0	1	0	0	0
KCNK9	0	0	0	0	0	1	0
KCNQ5	0	0	0	0	1	0	0
KCTD12	0	0	0	0	1	0	0
KCTD16	0	0	0	1	1	0	0
KDM4C	0	0	0	0	1	0	0
KDR	0	0	0	1	1	0	0
KIAA1217	0	0	0	0	1	0	0
KIF13B	0	0	0	1	0	0	0
KIF2B	0	0	0	1	0	0	0
KIF3B	0	0	0	1	0	0	0
KIF4B	0	0	0	1	0	0	0
KIF6	0	0	0	0	0	1	0
KITLG	0	0	0	1	0	0	0
KIZ-AS1	0	0	0	1	0	1	0
KLF12	0	0	0	0	0	1	0
KLF4	0	0	0	1	1	0	0
KLF5	0	0	0	0	1	0	0
KLHL22	0	0	0	1	0	0	0
KLHL34	0	0	0	1	0	0	0
KLHL38	0	0	0	1	0	0	0
KREMEN1	0	0	0	1	0	0	0
KRR1	0	0	0	1	0	0	0
KYNU	0	0	0	1	0	0	0
LAMB1	0	0	0	0	1	0	0
LARGE1	0	0	0	1	1	0	0
LARP1B	0	0	0	1	0	0	0
LCIIAR	0	0	1	0	0	0	0
LCN9	0	0	1	0	0	0	0
LCORL	0	0	0	1	1	0	0
LDB2	0	0	0	1	0	0	0
LDLRAD3	0	0	0	1	0	0	0
LDLRAD4	0	0	0	1	1	0	0
LGALS7B	0	0	0	0	1	0	0
LGI1	0	0	0	0	1	1	0
LGR4-AS1	0	0	0	1	0	0	0
LGR5	0	0	0	1	0	0	0
LGSN	0	0	0	1	0	0	0
LHCGR	0	0	0	0	0	1	0
LHFPL6	0	0	0	1	0	0	0
LIN7A	0	0	0	1	0	0	0
LINC-ROR	0	0	0	0	0	1	0
LINC00052	0	0	0	0	1	0	0
LINC00114	0	0	0	1	0	0	0
LINC00160	0	0	0	0	0	1	0
LINC00173	0	0	1	0	1	0	0
LINC00207	0	0	0	1	0	0	0
LINC00210	0	0	0	0	1	0	0
LINC00221	0	0	1	0	0	0	0
LINC00251	0	0	0	0	1	0	0
LINC00276	0	0	0	0	1	0	0
LINC00278	0	0	0	0	0	1	0
LINC00290	0	0	0	1	1	0	0
LINC00299	0	0	0	1	0	0	0
LINC00310	0	0	0	0	0	1	0
LINC00314	0	0	0	0	1	0	0
LINC00332	0	0	0	1	0	1	0
LINC00333	0	0	0	1	0	0	0
LINC00348	0	0	0	1	0	0	0
LINC00353	0	0	0	1	0	0	0
LINC00355	0	0	0	1	0	0	0
LINC00374	0	0	0	1	0	1	0
LINC00377	0	0	0	1	0	1	0
LINC00379	0	0	0	0	1	0	0
LINC00384	0	0	0	0	1	0	0
LINC00392	0	0	0	0	0	1	0
LINC00430	0	0	0	1	0	1	0
LINC00460	0	0	0	1	1	0	0
LINC00466	0	0	0	0	1	0	0
LINC00470	0	0	0	1	0	0	0
LINC00473	0	0	0	1	0	1	0
LINC00474	0	0	0	0	0	1	0
LINC00499	0	0	0	1	1	1	0
LINC00504	0	0	0	0	1	1	0
LINC00517	0	0	0	0	1	0	0
LINC00536	0	0	0	1	0	0	0
LINC00538	0	0	0	0	1	0	0
LINC00550	0	0	0	0	0	1	0
LINC00561	0	0	0	0	0	1	0
LINC00563	0	0	0	1	0	0	0
LINC00581	0	0	0	1	0	0	0
LINC00583	0	0	0	1	0	1	0
LINC00593	0	0	0	1	0	0	0
LINC00595	0	0	0	1	0	0	0
LINC00606	0	0	0	0	1	0	0
LINC00607	0	0	0	1	0	1	0
LINC00609	0	0	0	1	0	0	0
LINC00615	0	0	0	1	0	0	0
LINC00618	0	0	0	1	0	0	0
LINC00621	0	0	0	1	0	0	0
LINC00624	0	0	0	0	0	1	0
LINC00626	0	0	0	1	0	0	0
LINC00636	0	0	0	1	0	0	0
LINC00648	0	0	0	1	0	0	0
LINC00670	0	0	0	1	0	1	0
LINC00676	0	0	0	1	0	0	0
LINC00682	0	0	0	1	0	1	0
LINC00687	0	0	0	1	0	0	0
LINC00690	0	0	0	1	0	0	0
LINC00692	0	0	0	0	0	1	0
LINC00702	0	0	0	1	0	0	0
LINC00703	0	0	0	1	0	0	0
LINC00824	0	0	0	1	1	0	0
LINC00836	0	0	0	1	0	0	0
LINC00838	0	0	0	1	1	0	0
LINC00841	0	0	0	1	1	0	0
LINC00844	0	0	0	0	1	0	0
LINC00861	0	0	0	0	0	1	0
LINC00879	0	0	0	1	0	0	0
LINC00882	0	0	0	0	0	1	0
LINC00900	0	0	0	1	0	0	0
LINC00906	0	0	0	0	1	0	0
LINC00907	0	0	0	1	0	0	0
LINC00922	0	0	0	0	1	0	0
LINC00924	0	0	0	1	0	0	0
LINC00968	0	0	0	1	0	0	0
LINC00971	0	0	0	1	1	0	0
LINC00972	0	0	0	1	1	1	0
LINC00976	0	0	0	1	1	0	0
LINC00977	0	0	0	0	1	0	0
LINC00989	0	0	0	1	0	0	0
LINC00992	0	0	0	1	0	1	0
LINC00993	0	0	0	0	1	0	0
LINC01014	0	0	0	1	0	0	0
LINC01019	0	0	0	1	0	0	0
LINC01029	0	0	0	1	0	0	0
LINC01031	0	0	0	1	1	0	0
LINC01037	0	0	0	0	0	1	0
LINC01049	0	0	0	1	0	0	0
LINC01065	0	0	0	0	1	0	0
LINC01080	0	0	0	1	0	0	0
LINC01085	0	0	0	1	0	1	0
LINC01088	0	0	0	1	0	0	0
LINC01094	0	0	0	1	0	0	0
LINC01098	0	0	0	0	0	1	0
LINC01108	0	0	0	1	0	0	0
LINC01111	0	0	0	0	1	0	0
LINC01122	0	0	0	1	1	0	0
LINC01124	0	0	0	1	0	0	0
LINC01139	0	0	0	1	1	1	0
LINC01148	0	0	0	1	0	1	0
LINC01159	0	0	0	0	1	0	0
LINC01162	0	0	0	0	0	1	0
LINC01170	0	0	0	1	1	1	0
LINC01179	0	0	0	1	0	0	0
LINC01182	0	0	0	0	0	1	0
LINC01192	0	0	0	1	0	0	0
LINC01203	0	0	0	1	0	0	0
LINC01229	0	0	0	1	0	0	0
LINC01232	0	0	0	1	0	0	0
LINC01247	0	0	0	0	0	1	0
LINC01256	0	0	0	1	0	0	0
LINC01276	0	0	1	0	0	0	0
LINC01288	0	0	0	0	1	0	0
LINC01289	0	0	0	1	0	0	0
LINC01298	0	0	0	1	0	0	0
LINC01303	0	0	0	1	0	0	0
LINC01309	0	0	0	1	1	0	0
LINC01312	0	0	0	0	1	0	0
LINC01333	0	0	0	1	0	0	0
LINC01335	0	0	0	1	0	0	0
LINC01339	0	0	0	0	1	0	0
LINC01346	0	0	1	0	0	0	0
LINC01349	0	0	0	0	0	1	0
LINC01361	0	0	0	1	0	0	0
LINC01362	0	0	0	1	1	0	0
LINC01366	0	0	0	1	0	0	0
LINC01375	0	0	0	0	1	0	0
LINC01378	0	0	0	1	0	0	0
LINC01387	0	0	0	0	0	1	0
LINC01393	0	0	0	0	1	0	0
LINC01411	0	0	0	0	1	0	0
LINC01414	0	0	0	1	0	0	0
LINC01415	0	0	0	1	0	0	0
LINC01425	0	0	0	1	0	0	0
LINC01428	0	0	0	0	1	0	0
LINC01448	0	0	0	0	1	0	0
LINC01450	0	0	0	1	0	1	0
LINC01473	0	0	0	0	1	0	0
LINC01477	0	0	0	0	1	0	0
LINC01478	0	0	0	0	1	0	0
LINC01485	0	0	0	1	0	0	0
LINC01491	0	0	0	1	0	1	0
LINC01507	0	0	0	1	0	0	0
LINC01515	0	0	0	0	1	0	0
LINC01526	0	0	0	1	0	0	0
LINC01538	0	0	0	1	1	0	0
LINC01539	0	0	0	1	1	0	0
LINC01544	0	0	0	1	0	0	0
LINC01549	0	0	0	1	0	1	0
LINC01553	0	0	0	1	0	0	0
LINC01559	0	0	0	0	0	1	0
LINC01592	0	0	0	1	0	0	0
LINC01608	0	0	0	0	1	1	0
LINC01609	0	0	0	1	0	0	0
LINC01611	0	0	0	0	1	0	0
LINC01614	0	0	0	0	1	1	0
LINC01619	0	0	0	1	1	0	0
LINC01622	0	0	0	1	0	0	0
LINC01625	0	0	0	0	1	0	0
LINC01645	0	0	0	0	0	1	0
LINC01661	0	0	0	0	0	1	0
LINC01665	0	0	0	0	0	1	0
LINC01667	0	0	0	1	0	0	0
LINC01680	0	0	0	1	1	0	0
LINC01684	0	0	0	1	0	0	0
LINC01697	0	0	0	0	0	1	0
LINC01712	0	0	0	1	0	0	0
LINC01714	0	0	0	0	1	0	0
LINC01720	0	0	0	0	1	0	0
LINC01724	0	0	0	0	1	1	0
LINC01734	0	0	0	0	1	0	0
LINC01745	0	0	0	1	0	0	0
LINC01748	0	0	0	1	0	1	0
LINC01752	0	0	0	0	1	0	0
LINC01753	0	0	0	0	1	0	0
LINC01755	0	0	0	0	1	0	0
LINC01761	0	0	0	1	0	0	0
LINC01767	0	0	0	0	0	1	0
LINC01781	0	0	0	1	0	0	0
LINC01787	0	0	0	0	1	0	0
LINC01793	0	0	0	1	1	0	0
LINC01798	0	0	0	1	0	0	0
LINC01809	0	0	0	1	0	0	0
LINC01810	0	0	0	1	1	0	0
LINC01817	0	0	0	1	0	0	0
LINC01821	0	0	0	1	0	0	0
LINC01826	0	0	0	0	1	0	0
LINC01846	0	0	0	1	1	1	0
LINC01854	0	0	0	0	1	0	0
LINC01861	0	0	0	1	0	0	0
LINC01878	0	0	0	1	0	0	0
LINC01886	0	0	0	1	1	0	0
LINC01891	0	0	0	1	0	0	0
LINC01892	0	0	0	1	0	0	0
LINC01894	0	0	0	0	1	1	0
LINC01903	0	0	0	0	1	0	0
LINC01917	0	0	0	1	0	0	0
LINC01919	0	0	0	1	0	1	0
LINC01931	0	0	0	0	1	0	0
LINC01935	0	0	0	0	0	1	0
LINC01941	0	0	0	1	0	0	0
LINC01947	0	0	0	1	0	0	0
LINC01950	0	0	0	1	0	1	0
LINC01951	0	0	0	1	0	0	0
LINC01968	0	0	0	0	0	1	0
LINC01972	0	0	0	1	0	0	0
LINC01981	0	0	0	1	0	0	0
LINC01985	0	0	0	0	1	0	0
LINC02005	0	0	0	0	0	1	0
LINC02006	0	0	0	1	0	0	0
LINC02008	0	0	0	1	0	0	0
LINC02010	0	0	0	0	1	0	0
LINC02015	0	0	0	1	0	1	0
LINC02017	0	0	0	1	0	0	0
LINC02024	0	0	0	1	1	0	0
LINC02027	0	0	0	1	0	0	0
LINC02032	0	0	0	1	0	0	0
LINC02039	0	0	0	0	1	0	0
LINC02041	0	0	0	0	1	0	0
LINC02049	0	0	0	0	0	1	0
LINC02050	0	0	0	1	0	0	0
LINC02055	0	0	0	0	1	1	0
LINC02067	0	0	0	0	1	0	0
LINC02077	0	0	0	1	0	1	0
LINC02103	0	0	0	1	0	1	0
LINC02105	0	0	0	1	0	0	0
LINC02106	0	0	0	1	0	0	0
LINC02112	0	0	0	0	1	0	0
LINC02113	0	0	0	1	0	0	0
LINC02114	0	0	0	1	1	0	0
LINC02115	0	0	0	0	0	1	0
LINC02118	0	0	0	0	1	0	0
LINC02121	0	0	0	0	1	0	0
LINC02143	0	0	0	1	0	0	0
LINC02145	0	0	0	1	0	0	0
LINC02147	0	0	0	1	1	0	0
LINC02148	0	0	0	0	1	0	0
LINC02149	0	0	0	1	0	0	0
LINC02155	0	0	0	1	0	0	0
LINC02156	0	0	0	0	0	1	0
LINC02167	0	0	0	1	0	0	0
LINC02172	0	0	0	1	0	1	0
LINC02198	0	0	0	1	1	0	0
LINC02200	0	0	0	1	0	0	0
LINC02211	0	0	0	1	0	0	0
LINC02214	0	0	0	1	0	0	0
LINC02217	0	0	0	1	0	0	0
LINC02223	0	0	0	1	1	0	0
LINC02224	0	0	0	1	1	0	0
LINC02225	0	0	0	0	0	1	0
LINC02226	0	0	0	1	0	0	0
LINC02228	0	0	0	0	1	0	0
LINC02230	0	0	0	0	0	1	0
LINC02233	0	0	0	1	0	0	0
LINC02234	0	0	0	1	0	0	0
LINC02237	0	0	0	1	0	0	0
LINC02240	0	0	0	1	1	1	0
LINC02261	0	0	0	1	0	1	0
LINC02269	0	0	0	0	1	0	0
LINC02270	0	0	0	1	0	0	0
LINC02271	0	0	0	1	0	0	0
LINC02293	0	0	0	0	1	0	0
LINC02299	0	0	0	0	1	0	0
LINC02301	0	0	0	1	0	1	0
LINC02311	0	0	0	0	0	1	0
LINC02315	0	0	0	0	0	1	0
LINC02330	0	0	0	1	1	0	0
LINC02332	0	0	0	1	0	0	0
LINC02349	0	0	0	1	0	0	0
LINC02353	0	0	0	0	1	0	0
LINC02360	0	0	0	1	0	0	0
LINC02380	0	0	0	1	1	1	0
LINC02412	0	0	0	1	0	0	0
LINC02421	0	0	0	1	0	0	0
LINC02424	0	0	0	1	0	0	0
LINC02426	0	0	0	0	1	0	0
LINC02429	0	0	0	1	0	0	0
LINC02432	0	0	0	0	1	0	0
LINC02444	0	0	0	1	0	0	0
LINC02446	0	0	0	0	1	0	0
LINC02458	0	0	0	0	1	0	0
LINC02465	0	0	0	1	0	0	0
LINC02472	0	0	0	1	0	0	0
LINC02484	0	0	0	0	1	1	0
LINC02488	0	0	0	0	1	0	0
LINC02493	0	0	0	1	0	0	0
LINC02494	0	0	0	0	0	1	0
LINC02497	0	0	0	0	1	1	0
LINC02511	0	0	0	1	0	1	0
LINC02513	0	0	0	1	0	0	0
LINC02516	0	0	0	1	0	1	0
LINC02518	0	0	0	1	0	0	0
LINC02530	0	0	0	1	0	0	0
LINC02533	0	0	0	0	0	1	0
LINC02534	0	0	0	0	0	1	0
LINC02542	0	0	0	0	1	0	0
LINC02545	0	0	0	0	0	1	0
LINC02552	0	0	0	0	0	1	0
LINC02582	0	0	0	0	0	1	0
LINC02595	0	0	0	1	0	0	0
LINC02607	0	0	0	0	0	1	0
LINC02615	0	0	0	0	1	0	0
LINC02616	0	0	0	0	0	1	0
LINC02639	0	0	0	1	0	0	0
LINC02648	0	0	0	0	1	0	0
LINC02650	0	0	0	0	1	0	0
LINC02653	0	0	0	0	1	0	0
LINC02655	0	0	0	1	0	0	0
LINC02669	0	0	0	0	0	1	0
LINC02670	0	0	0	1	1	0	0
LINC02711	0	0	0	0	0	1	0
LINC02714	0	0	0	1	0	0	0
LINC02720	0	0	0	0	1	0	0
LINC02760	0	0	0	1	0	0	0
LINC02817	0	0	0	0	1	1	0
LINC02864	0	0	0	1	0	0	0
LINC02868	0	0	0	1	0	0	0
LINC02869	0	0	0	1	0	0	0
LINC02873	0	0	0	1	0	0	0
LINC02875	0	0	0	0	1	0	0
LINC02877	0	0	0	1	0	0	0
LINC02882	0	0	0	1	0	0	0
LINC02899	0	0	0	1	0	0	0
LINC02900	0	0	0	1	0	0	0
LINC02903	0	0	0	0	0	1	0
LINC02915	0	0	0	0	1	0	0
LINC02941	0	0	0	1	0	0	0
LINC02955	0	0	0	1	0	0	0
LINC02984	0	0	0	1	0	0	0
LINC02987	0	0	0	1	0	0	0
LINC02992	0	0	0	1	0	0	0
LINC02994	0	0	0	1	0	0	0
LINC02996	0	0	0	1	0	0	0
LINC02997	0	0	0	1	0	0	0
LINC03002	0	0	0	0	0	1	0
LINC03005	0	0	0	1	1	0	0
LINC03017	0	0	0	1	0	1	0
LINC03024	0	0	0	0	1	0	0
LINC03027	0	0	0	0	1	0	0
LINC03123	0	0	0	1	0	0	0
LIPC-AS1	0	0	0	1	0	0	0
LIPG	0	0	0	0	1	0	0
LITATS1	0	0	0	1	0	0	0
LIX1	0	0	0	1	0	0	0
LLPH-DT	0	0	0	0	1	0	0
LMBRD1	0	0	0	1	0	1	0
LMNTD1	0	0	0	0	1	0	0
LMX1A	0	0	0	0	0	1	0
LNCATV	0	0	0	1	0	0	0
LNCPRESS2	0	0	0	0	1	0	0
LNCSRLR	0	0	0	1	1	1	0
LNPEP	0	0	0	1	0	0	0
LNX1-AS2	0	0	0	1	0	0	0
LOC100129316	0	0	0	0	1	0	0
LOC100129617	0	0	0	1	0	0	0
LOC100130298	0	0	0	1	0	0	0
LOC100134040	0	0	0	0	0	1	0
LOC100271832	0	0	0	0	0	1	0
LOC100287944	0	0	0	1	0	0	0
LOC100289473	0	0	0	1	1	0	0
LOC100422212	0	0	0	1	0	0	0
LOC100506274	0	0	0	1	0	0	0
LOC100506403	0	0	0	0	1	0	0
LOC100506474	0	0	0	1	1	0	0
LOC100506790	0	0	0	0	1	0	0
LOC100506858	0	0	0	0	1	0	0
LOC100506869	0	0	0	0	1	0	0
LOC100507412	0	0	0	1	0	0	0
LOC100996664	0	0	0	1	0	1	0
LOC101926908	0	0	0	1	0	0	0
LOC101927020	0	0	0	0	1	0	0
LOC101927040	0	0	0	1	0	0	0
LOC101927045	0	0	0	1	0	0	0
LOC101927066	0	0	0	1	0	0	0
LOC101927141	0	0	0	0	0	1	0
LOC101927159	0	0	0	0	1	1	0
LOC101927189	0	0	0	1	0	0	0
LOC101927237	0	0	0	1	0	1	0
LOC101927269	0	0	0	1	0	0	0
LOC101927284	0	0	0	1	0	0	0
LOC101927394	0	0	0	1	0	0	0
LOC101927418	0	0	0	1	0	0	0
LOC101927421	0	0	0	1	1	0	0
LOC101927450	0	0	0	0	1	0	0
LOC101927488	0	0	0	1	0	0	0
LOC101927516	0	0	0	1	0	0	0
LOC101927550	0	0	0	0	1	0	0
LOC101927668	0	0	0	1	0	0	0
LOC101927691	0	0	1	0	0	0	0
LOC101927769	0	0	0	1	0	0	0
LOC101927787	0	0	0	0	1	0	0
LOC101927822	0	0	0	0	1	0	0
LOC101927845	0	0	0	0	1	0	0
LOC101927881	0	0	0	1	0	0	0
LOC101927908	0	0	0	1	0	0	0
LOC101927960	0	0	0	1	0	0	0
LOC101928052	0	0	1	0	0	0	0
LOC101928166	0	0	0	1	0	0	0
LOC101928254	0	0	0	0	1	0	0
LOC101928269	0	0	0	0	1	0	0
LOC101928272	0	0	0	1	0	0	0
LOC101928386	0	0	0	1	0	0	0
LOC101928453	0	0	0	1	0	0	0
LOC101928475	0	0	0	1	0	1	0
LOC101928510	0	0	0	1	0	0	0
LOC101928519	0	0	0	1	0	0	0
LOC101928525	0	0	0	0	1	0	0
LOC101928565	0	0	0	1	0	0	0
LOC101928622	0	0	0	0	1	0	0
LOC101928782	0	0	0	1	0	0	0
LOC101928847	0	0	0	0	0	1	0
LOC101928855	0	0	0	1	0	0	0
LOC101928882	0	0	0	1	0	0	0
LOC101928936	0	0	0	1	0	0	0
LOC101929154	0	0	0	1	0	0	0
LOC101929452	0	0	0	0	1	0	0
LOC101929460	0	0	0	1	0	0	0
LOC101929551	0	0	0	1	0	0	0
LOC101929563	0	0	0	1	0	0	0
LOC101929577	0	0	0	1	0	0	0
LOC102467226	0	0	0	1	0	0	0
LOC102606466	0	0	0	1	1	0	0
LOC102723427	0	0	0	0	1	0	0
LOC102723475	0	0	0	1	0	0	0
LOC102723604	0	0	0	0	1	0	0
LOC102723769	0	0	0	1	0	1	0
LOC102723971	0	0	0	1	0	0	0
LOC102724096	0	0	0	0	0	1	0
LOC102724152	0	0	0	1	0	0	0
LOC102724357	0	0	0	1	0	0	0
LOC102724467	0	0	0	0	1	0	0
LOC102724604	0	0	0	1	0	0	0
LOC102724612	0	0	0	0	1	0	0
LOC102724904	0	0	0	0	0	1	0
LOC102724908	0	0	0	1	0	0	0
LOC104054148	0	0	0	1	0	0	0
LOC105369146	0	0	0	1	1	0	0
LOC105369212	0	0	0	1	1	0	0
LOC105369535	0	0	0	1	0	0	0
LOC105370362	0	0	0	0	1	0	0
LOC105370802	0	0	0	1	0	0	0
LOC105372028	0	0	0	0	1	0	0
LOC105372179	0	0	0	0	1	0	0
LOC105373782	0	0	0	1	0	0	0
LOC105374428	0	0	0	1	0	0	0
LOC105374704	0	0	0	1	1	0	0
LOC105374960	0	0	0	1	0	0	0
LOC105374988	0	0	1	0	0	0	0
LOC105375075	0	0	0	1	0	0	0
LOC105375690	0	0	0	0	1	1	0
LOC105375713	0	0	0	1	0	0	0
LOC105375972	0	0	0	1	0	0	0
LOC105376194	0	0	0	0	1	0	0
LOC105376360	0	0	0	1	0	0	0
LOC105377102	0	0	0	1	0	0	0
LOC105377458	0	0	0	0	0	1	0
LOC105377480	0	0	0	0	1	0	0
LOC105377651	0	0	0	1	0	0	0
LOC105377967	0	0	0	0	0	1	0
LOC105378479	0	0	0	1	0	0	0
LOC105379192	0	0	0	0	0	1	0
LOC107986794	0	0	0	1	0	1	0
LOC127814295	0	0	0	0	0	1	0
LOC284788	0	0	0	1	0	0	0
LOC286083	0	0	0	1	0	0	0
LOC339593	0	0	0	0	1	0	0
LOC339975	0	0	0	1	0	0	0
LOC340512	0	0	0	1	0	0	0
LOC440982	0	0	0	1	0	0	0
LOC613266	0	0	0	1	0	0	0
LOC645188	0	0	0	1	0	0	0
LOC646736	0	0	0	0	1	1	0
LOC729291	0	0	0	0	1	0	0
LOC729681	0	0	0	1	0	0	0
LOC730338	0	0	0	1	0	1	0
LONRF2	0	0	0	0	1	0	0
LPAR1	0	0	0	1	0	0	0
LPP	0	0	0	1	0	0	0
LPP-AS1	0	0	0	0	1	0	0
LRATD1	0	0	0	0	0	1	0
LRFN5	0	0	0	0	1	1	0
LRIG2-DT	0	0	0	1	0	0	0
LRIG3	0	0	0	1	0	1	0
LRMDA	0	0	0	1	1	0	0
LRP1B	0	0	0	1	1	0	0
LRRC1	0	0	0	1	0	0	0
LRRC30	0	0	0	0	1	0	0
LRRC3B	0	0	0	0	0	1	0
LRRC70	0	0	0	0	0	1	0
LRRC72	0	0	0	1	0	0	0
LRRC77P	0	0	0	1	0	0	0
LRRC8B	0	0	0	1	0	0	0
LRRC8C	0	0	0	0	1	0	0
LRRC8D	0	0	0	1	0	0	0
LRRN2	0	0	0	0	0	1	0
LRRN3	0	0	0	1	0	0	0
LRRTM1	0	0	0	0	1	0	0
LSAMP-AS1	0	0	0	0	1	0	0
LSM11	0	0	0	1	0	0	0
LYG1	0	0	0	0	1	0	0
LYPLAL1	0	0	0	1	0	0	0
LYPLAL1-AS1	0	0	0	1	0	1	0
LZTS1	0	0	0	0	1	0	0
MACROD2	0	0	0	0	1	0	0
MACROD2-IT1	0	0	0	0	0	1	0
MAD2L1	0	0	0	1	0	0	0
MAF	0	0	0	1	0	0	0
MAGEB16	0	0	0	1	0	0	0
MAGI2-AS2	0	0	0	1	0	1	0
MAGI2-AS3	0	0	0	1	0	0	0
MANCR	0	0	0	0	1	0	0
MANEA-DT	0	0	0	1	0	0	0
MAOB	0	0	0	0	1	0	0
MAP2	0	0	0	0	1	1	0
MAP2K5	0	0	0	1	0	0	0
MAP3K20	0	0	0	0	1	0	0
MAP3K7	0	0	0	1	1	0	0
MAP3K7CL	0	0	0	1	0	0	0
MAP7	0	0	0	1	0	0	0
MAPK1	0	0	0	1	0	0	0
MAPK10	0	0	0	1	0	0	0
MAPK10-AS1	0	0	0	0	0	1	0
MAPK4	0	0	0	1	0	0	0
MARCHF1	0	0	0	1	0	0	0
MARCHF11	0	0	0	0	0	1	0
MARCHF3	0	0	0	0	0	1	0
MARCHF4	0	0	0	1	0	0	0
MARVELD3	0	0	0	0	1	0	0
MAST2	0	0	0	1	0	0	0
MAST4	0	0	0	0	0	1	0
MAT2B	0	0	0	0	1	0	0
MATCAP2	0	0	0	0	0	1	0
MATN1-AS1	0	0	0	1	0	0	0
MBIP	0	0	0	1	0	0	0
MC2R	0	0	0	1	0	0	0
MCTP2	0	0	0	1	0	0	0
MCUB	0	0	0	1	0	0	0
MDFIC	0	0	1	0	0	0	0
MDGA2	0	0	0	1	0	0	0
ME3	0	0	0	0	1	0	0
MEAT6	0	0	0	1	1	0	0
MECOM	0	0	0	1	0	0	0
MEGF10	0	0	0	0	0	1	0
MFFP3	0	0	0	0	0	1	0
MFHAS1	0	0	0	1	0	0	0
MFSD1	0	0	0	1	0	0	0
MFSD9	0	0	0	1	0	0	0
MGAT4C	0	0	0	1	0	0	0
MGC12916	0	0	0	1	0	0	0
MGC32805	0	0	0	1	0	0	0
MGC34796	0	0	0	1	0	0	0
MGC70870	0	0	0	0	0	1	0
MIR1208	0	0	0	1	1	0	0
MIR12113	0	0	0	1	1	0	0
MIR1243	0	0	0	1	0	0	0
MIR1244-2	0	0	0	1	0	0	0
MIR125B1	0	0	0	1	0	0	0
MIR125B2	0	0	0	1	1	0	0
MIR1260B	0	0	0	0	0	1	0
MIR1261	0	0	0	1	0	0	0
MIR1263	0	0	0	1	0	0	0
MIR1269A	0	0	0	1	0	0	0
MIR1270	0	0	0	1	0	0	0
MIR1297	0	0	0	1	0	0	0
MIR1299	0	0	0	1	0	0	0
MIR1302-6	0	0	0	1	0	0	0
MIR147A	0	0	0	0	0	1	0
MIR197	0	0	0	1	0	0	0
MIR1973	0	0	0	1	0	1	0
MIR204	0	0	0	1	0	0	0
MIR2052	0	0	0	1	0	0	0
MIR2054	0	0	0	1	1	1	0
MIR2113	0	0	0	1	0	0	0
MIR28	0	0	0	0	1	0	0
MIR2909	0	0	0	1	0	0	0
MIR29B1	0	0	0	1	0	0	0
MIR302F	0	0	0	1	0	0	0
MIR3170	0	0	0	1	0	0	0
MIR320D2	0	0	0	1	0	0	0
MIR3660	0	0	0	0	1	0	0
MIR3681	0	0	0	1	0	0	0
MIR3681HG	0	0	0	0	1	0	0
MIR3692	0	0	0	1	0	0	0
MIR3914-1	0	0	0	1	0	0	0
MIR3938	0	0	0	1	1	0	0
MIR3942	0	0	0	1	0	0	0
MIR3977	0	0	0	0	0	1	0
MIR4265	0	0	0	1	0	0	0
MIR4268	0	0	0	0	1	1	0
MIR4272	0	0	0	0	0	1	0
MIR4275	0	0	0	1	0	0	0
MIR4289	0	0	0	1	0	0	0
MIR4290HG	0	0	0	1	0	0	0
MIR4303	0	0	0	1	0	0	0
MIR4305	0	0	0	0	0	1	0
MIR4319	0	0	0	1	0	0	0
MIR4320	0	0	0	0	1	0	0
MIR4427	0	0	0	1	0	0	0
MIR4428	0	0	0	1	0	0	0
MIR4435-2	0	0	0	1	0	0	0
MIR4435-2HG	0	0	0	1	0	0	0
MIR4440	0	0	1	0	0	0	0
MIR4445	0	0	0	0	1	0	0
MIR4451	0	0	0	1	0	1	0
MIR4454	0	0	0	1	1	0	0
MIR4460	0	0	0	0	1	0	0
MIR4465	0	0	0	1	0	0	0
MIR4466	0	0	0	1	0	0	0
MIR4477B	0	0	0	1	0	1	0
MIR4490	0	0	0	0	0	1	0
MIR4493	0	0	0	1	0	0	0
MIR4500	0	0	0	1	0	0	0
MIR4510	0	0	0	0	0	1	0
MIR4636	0	0	0	0	0	1	0
MIR4643	0	0	0	1	1	0	0
MIR466	0	0	0	0	1	0	0
MIR4666B	0	0	0	1	0	0	0
MIR4668	0	0	0	0	1	0	0
MIR4699	0	0	0	1	0	0	0
MIR4718	0	0	0	0	1	0	0
MIR4743	0	0	0	1	0	0	0
MIR4762	0	0	0	1	0	0	0
MIR4776-2	0	0	0	1	0	0	0
MIR4778	0	0	0	1	0	0	0
MIR4783	0	0	0	1	0	0	0
MIR4785	0	0	0	0	0	1	0
MIR4799	0	0	0	1	0	0	0
MIR488	0	0	0	1	0	0	0
MIR5007	0	0	0	1	0	0	0
MIR5008	0	0	1	0	0	0	0
MIR5011	0	0	0	1	0	0	0
MIR511	0	0	0	1	0	0	0
MIR5197	0	0	0	1	0	1	0
MIR532	0	0	0	1	0	0	0
MIR548A3	0	0	0	0	0	1	0
MIR548AA2	0	0	0	0	0	1	0
MIR548AG1	0	0	0	1	0	1	0
